listings_count,count
1,42120
2,11096
3,4626
4,2588
5,1655
6,1314
7,952
878,878
8,704
10,660
9,648
11,440
12,408
13,390
21,357
22,352
15,330
14,308
283,283
279,279
17,272
18,270
267,267
16,256
242,242
19,228
42,210
26,208
20,200
33,198
25,175
29,174
28,168
51,153
152,152
50,150
143,143
35,140
23,138
27,135
44,132
32,128
31,124
24,120
118,118
58,116
114,114
111,111
36,108
106,106
34,102
101,101
96,96
48,96
47,94
91,91
30,90
45,90
43,86
38,76
71,71
66,66
61,61
59,59
56,56
53,53
49,49
46,46
41,41
40,40
39,39
37,37
