id,host_id,host_is_superhost,neighbourhood_cleansed,longitude,latitude,price,calendar_last_scraped,last_review,calculated_host_listings_count
5910748,30698497,f,Kingston upon Thames,-0.266799204,51.38872165633105,$45.00,02/02/2016,06/11/2019 00:00,1
8950456,1343541,f,Kingston upon Thames,-0.27679607,51.40135252153529,$60.00,02/02/2016,06/11/2019 00:00,1
375799,1889832,t,Kingston upon Thames,-0.250435827,51.40295807352129,$80.00,02/02/2016,06/11/2019 00:00,2
10258595,42904421,f,Kingston upon Thames,-0.265324582,51.40183099218181,$27.00,02/02/2016,06/11/2019 00:00,1
8020994,35325452,f,Kingston upon Thames,-0.262080936,51.40543671348609,$49.00,02/02/2016,06/11/2019 00:00,1
2544574,12665529,f,Kingston upon Thames,-0.298613788,51.41988340225687,$25.00,02/02/2016,06/11/2019 00:00,3
6649412,34805143,f,Kingston upon Thames,-0.264761839,51.386653047341404,$28.00,02/02/2016,06/11/2019 00:00,1
9964915,51206977,f,Kingston upon Thames,-0.249874597,51.39347078648348,$26.00,02/02/2016,06/11/2019 00:00,1
4419140,22913585,f,Kingston upon Thames,-0.258758641,51.42911323,$70.00,02/02/2016,06/11/2019 00:00,1
4472617,23205798,f,Kingston upon Thames,-0.283066187,51.39551870020469,$50.00,02/02/2016,06/11/2019 00:00,2
637508,3179560,f,Kingston upon Thames,-0.256648069,51.39468440784279,$60.00,02/02/2016,06/11/2019 00:00,1
10240132,52630573,f,Kingston upon Thames,-0.25723954,51.430168468213495,$50.00,02/02/2016,06/11/2019 00:00,1
6656775,24976001,f,Kingston upon Thames,-0.265555637,51.40481514331791,$85.00,02/02/2016,05/11/2019 00:00,1
4577227,8361720,f,Kingston upon Thames,-0.297898065,51.38513366095992,$40.00,02/02/2016,05/11/2019 00:00,1
10953690,56469941,f,Kingston upon Thames,-0.244506417,51.39188969302651,$28.00,02/02/2016,05/11/2019 00:00,5
5822569,30218516,f,Kingston upon Thames,-0.264330602,51.40378190263313,$65.00,02/02/2016,05/11/2019 00:00,1
3263103,16319891,f,Kingston upon Thames,-0.273362867,51.412100616735664,$50.00,02/02/2016,05/11/2019 00:00,1
6849065,27121841,f,Kingston upon Thames,-0.292348364,51.38912918113449,$40.00,02/02/2016,05/11/2019 00:00,1
8959142,46824592,f,Kingston upon Thames,-0.308068869,51.40885752849693,$46.00,02/02/2016,05/11/2019 00:00,1
6537580,29225549,f,Kingston upon Thames,-0.310576764,51.39859395346044,$75.00,02/02/2016,05/11/2019 00:00,1
7515814,26371060,t,Kingston upon Thames,-0.296375888,51.41355381188027,$59.00,02/02/2016,05/11/2019 00:00,1
754867,1794020,t,Kingston upon Thames,-0.301411919,51.39640369865256,$121.00,02/02/2016,05/11/2019 00:00,2
5792207,30049644,f,Kingston upon Thames,-0.306240946,51.39074705278186,$90.00,02/02/2016,05/11/2019 00:00,1
6781198,21869529,f,Kingston upon Thames,-0.278264698,51.39888254339438,$129.00,02/02/2016,05/11/2019 00:00,1
7043527,36933760,f,Kingston upon Thames,-0.286683293,51.41551282948379,$70.00,02/02/2016,05/11/2019 00:00,1
5994137,31123373,f,Kingston upon Thames,-0.294159373,51.40922989253186,$32.00,02/02/2016,05/11/2019 00:00,1
6179409,32033043,t,Kingston upon Thames,-0.282554482,51.41853710491494,$49.00,02/02/2016,05/11/2019 00:00,1
487783,2413601,f,Kingston upon Thames,-0.303563519,51.41848141,$38.00,02/02/2016,05/11/2019 00:00,2
9802840,45794381,f,Kingston upon Thames,-0.308381525,51.40728394187568,$125.00,02/02/2016,05/11/2019 00:00,1
10147970,51069799,f,Kingston upon Thames,-0.303246196,51.43057943461076,$35.00,02/02/2016,05/11/2019 00:00,1
5187349,22611343,t,Kingston upon Thames,-0.290898486,51.41524071331015,$60.00,02/02/2016,05/11/2019 00:00,2
8587528,37754834,f,Kingston upon Thames,-0.290138974,51.38359524598085,$50.00,02/02/2016,05/11/2019 00:00,1
6965549,36522007,f,Kingston upon Thames,-0.258348574,51.402902452522056,$95.00,02/02/2016,05/11/2019 00:00,1
9968347,28536352,f,Kingston upon Thames,-0.278253045,51.40190762590824,$44.00,02/02/2016,05/11/2019 00:00,1
7000410,33292052,f,Kingston upon Thames,-0.259868046,51.40186696272263,$45.00,02/02/2016,05/11/2019 00:00,2
7000404,33292052,f,Kingston upon Thames,-0.259152921,51.400455194357136,$43.00,02/02/2016,05/11/2019 00:00,2
1953238,10097876,f,Kingston upon Thames,-0.248609493,51.38571296673285,$42.00,02/02/2016,05/11/2019 00:00,1
5098744,26345340,f,Kingston upon Thames,-0.306504748,51.413899434976656,$100.00,02/02/2016,05/11/2019 00:00,1
1231996,151192,t,Kingston upon Thames,-0.294443103,51.40598091382212,$50.00,02/02/2016,05/11/2019 00:00,1
4836957,18154504,f,Kingston upon Thames,-0.290704075,51.411482167136185,$55.00,02/02/2016,05/11/2019 00:00,1
10920533,56469941,f,Kingston upon Thames,-0.24496447,51.39169516321504,$38.00,02/02/2016,05/11/2019 00:00,5
6867451,35056584,f,Kingston upon Thames,-0.280073412,51.39061476298634,$40.00,02/02/2016,05/11/2019 00:00,1
9488185,48645021,f,Kingston upon Thames,-0.29346112,51.41092388371182,$45.00,02/02/2016,05/11/2019 00:00,4
6735259,35271724,f,Kingston upon Thames,-0.306353168,51.40703841325932,$150.00,02/02/2016,05/11/2019 00:00,2
2476333,12665529,f,Kingston upon Thames,-0.299535566,51.42131461264942,$25.00,02/02/2016,05/11/2019 00:00,3
6407792,12408381,f,Kingston upon Thames,-0.245376649,51.38557490129613,$50.00,02/02/2016,05/11/2019 00:00,1
5817317,18868250,f,Kingston upon Thames,-0.306410704,51.36691695206207,$30.00,02/02/2016,05/11/2019 00:00,1
9094012,45714216,f,Kingston upon Thames,-0.298951422,51.38911528776424,$35.00,02/02/2016,05/11/2019 00:00,1
5357908,27772993,f,Kingston upon Thames,-0.266186135,51.41704501147905,$60.00,02/02/2016,05/11/2019 00:00,1
8568242,10095377,f,Kingston upon Thames,-0.300713123,51.402541457239614,$65.00,02/02/2016,05/11/2019 00:00,1
6995759,21129575,f,Kingston upon Thames,-0.304543242,51.42061222170804,$250.00,02/02/2016,05/11/2019 00:00,1
5617180,27903206,f,Kingston upon Thames,-0.302671123,51.40160977815369,$85.00,02/02/2016,05/11/2019 00:00,1
10794498,31551389,f,Kingston upon Thames,-0.301516099,51.41271812394982,$45.00,02/02/2016,05/11/2019 00:00,1
4502201,17249646,f,Kingston upon Thames,-0.271178919,51.406102551817135,$23.00,02/02/2016,05/11/2019 00:00,2
9286172,10314966,f,Kingston upon Thames,-0.254195412,51.40125182687389,$45.00,02/02/2016,05/11/2019 00:00,1
9417632,44854420,f,Kingston upon Thames,-0.299546128,51.39790311044802,$240.00,02/02/2016,05/11/2019 00:00,1
6648555,34801419,f,Kingston upon Thames,-0.295859994,51.386838168925166,$35.00,02/02/2016,05/11/2019 00:00,1
4501112,23343766,f,Kingston upon Thames,-0.2902915,51.41467332918211,$250.00,02/02/2016,05/11/2019 00:00,1
568649,2796744,f,Kingston upon Thames,-0.308785925,51.39330406455738,$80.00,02/02/2016,05/11/2019 00:00,1
5483827,28439533,f,Kingston upon Thames,-0.263097658,51.4062027,$72.00,02/02/2016,05/11/2019 00:00,1
10897236,56469941,f,Kingston upon Thames,-0.244989668,51.393468828461856,$28.00,02/02/2016,05/11/2019 00:00,5
5745424,29797177,t,Kingston upon Thames,-0.256993552,51.40558014011194,$45.00,02/02/2016,05/11/2019 00:00,1
10267334,7732315,f,Kingston upon Thames,-0.284666198,51.407364302541374,$70.00,02/02/2016,05/11/2019 00:00,2
2336771,2030713,f,Kingston upon Thames,-0.307017974,51.42607689393227,$60.00,02/02/2016,05/11/2019 00:00,1
3123162,6543906,f,Kingston upon Thames,-0.258382694,51.38965959965202,$55.00,02/02/2016,05/11/2019 00:00,4
10987622,57008613,f,Kingston upon Thames,-0.301913822,51.39499198194696,$30.00,02/02/2016,05/11/2019 00:00,1
9225662,47965749,f,Kingston upon Thames,-0.296316312,51.406890333084895,$350.00,02/02/2016,05/11/2019 00:00,1
6790399,13670833,f,Kingston upon Thames,-0.293294007,51.39808314114434,$80.00,02/02/2016,05/11/2019 00:00,1
10264701,52777957,f,Kingston upon Thames,-0.269997237,51.40007157790556,$40.00,02/02/2016,05/11/2019 00:00,1
5479872,15613593,f,Kingston upon Thames,-0.282484774,51.41059080020718,$60.00,02/02/2016,05/11/2019 00:00,1
4036604,20926404,f,Kingston upon Thames,-0.294976314,51.41238444682208,$55.00,02/02/2016,05/11/2019 00:00,2
4036141,20926404,f,Kingston upon Thames,-0.295913596,51.41410619985172,$275.00,02/02/2016,05/11/2019 00:00,2
4690444,24250588,f,Kingston upon Thames,-0.287966525,51.39081637668108,$30.00,02/02/2016,05/11/2019 00:00,1
4363188,22648205,f,Kingston upon Thames,-0.297332006,51.40872945474492,$200.00,02/02/2016,05/11/2019 00:00,1
6290335,32702986,f,Kingston upon Thames,-0.28355949,51.407382166281074,$70.00,02/02/2016,05/11/2019 00:00,1
8388331,39326230,f,Kingston upon Thames,-0.250968463,51.40125889060242,$28.00,02/02/2016,05/11/2019 00:00,1
3603952,18158977,f,Kingston upon Thames,-0.295922857,51.40765812109726,$49.00,02/02/2016,05/11/2019 00:00,1
8574194,26485806,f,Kingston upon Thames,-0.294623953,51.41447466892596,$85.00,02/02/2016,05/11/2019 00:00,2
9851854,50718952,f,Kingston upon Thames,-0.303261422,51.40621398420596,$57.00,02/02/2016,05/11/2019 00:00,1
